frame,frame,y,x,bottom,right,class,class_str,score,,,scoress,,,frame,,tem,,,Emotion
13,13,0.13247779,0.40933737,0.43433896,0.57725704,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6930805,,,0.6930805 Neutral,,,13,,98,,,-5
14,14,0.13247779,0.40933737,0.43433896,0.57725704,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6930805,,,0.6930805 Neutral,,,14,,98,,,-5
15,15,0.13247779,0.40933737,0.43433896,0.57725704,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6930805,,,0.6930805 Neutral,,,15,,98,,,0
16,16,0.13247779,0.40933737,0.43433896,0.57725704,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6930805,,,0.6930805 Neutral,,,16,,98,,,5
17,17,0.13247368,0.40932876,0.43435535,0.57725745,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6925126,,,0.6925126 Neutral,,,17,,97,,,0
18,18,0.13247214,0.40932745,0.43435788,0.5772574,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6922269,,,0.6922269 Neutral,,,18,,98,,,5
19,19,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,19,,98,,,-5
20,20,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,20,,98,,,5
21,21,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,21,,97,,,0
22,22,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,22,,97,,,5
23,23,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,23,,97,,,0
24,24,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,24,,97,,,0
25,25,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,25,,97,,,0
26,26,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,26,,97,,,0
27,27,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,27,,97,,,5
28,28,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,28,,97,,,-5
29,29,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,29,,98,,,-5
30,30,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,30,,98,,,-5
31,31,0.13246039,0.4093049,0.43439928,0.5772589,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69109565,,,0.69109565 Neutral,,,31,,98,,,0
32,32,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,32,,98,,,5
33,33,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,33,,98,,,0
34,34,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,34,,98,,,5
35,35,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,35,,98,,,-5
36,36,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,36,,98,,,5
37,37,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,37,,98,,,5
38,38,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,38,,97,,,5
39,39,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,39,,98,,,0
40,40,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,40,,98,,,0
41,41,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,41,,98,,,0
42,42,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,42,,97,,,0
43,43,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,43,,,,,5
44,44,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,44,,,,,-5
45,45,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,45,,,,,-5
46,46,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,46,,,,,-5
47,47,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,47,,,,,0
48,48,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,48,,,,,5
49,49,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,49,,,,,5
50,50,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,50,,,,,0
51,51,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,51,,,,,5
52,52,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,52,,,,,-5
53,53,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,53,,,,,5
54,54,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,54,,,,,-5
55,55,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,55,,,,,5
56,56,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,56,,,,,0
57,57,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,57,,,,,0
58,58,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,58,,,,,0
59,59,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,59,,,,,0
60,60,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,60,,,,,5
61,61,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,61,,,,,-5
62,62,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,62,,,,,-5
63,63,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,63,,,,,-5
64,64,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,64,,,,,0
65,65,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,65,,,,,5
66,66,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,66,,,,,0
67,67,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,67,,,,,5
68,68,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,68,,,,,-5
69,69,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,69,,,,,5
70,70,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,70,,,,,0
71,71,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 Neutral,,,71,,,,,5
72,72,0.13251299,0.40932506,0.43438256,0.577259,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69371736,,,0.69371736 B/w Confused & Neutal,,,72,,,,,0
94,94,0.12989454,0.20621033,0.25301638,0.26437813,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.21171805,,,0.21171805 B/w Confused & Neutal,,,94,,,,,0
95,95,0.13006428,0.20577835,0.25290808,0.264589,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.22324668,,,0.22324668 B/w Confused & Neutal,,,95,,,,,0
106,106,0.002226949,0.27747107,0.29946315,0.3537811,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23271647,,,0.23271647 B/w Confused & Neutal,,,106,,,,,0
107,107,0.00224039,0.2774123,0.2993853,0.35382283,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2299701,,,0.2299701 B/w Confused & Neutal,,,107,,,,,5
108,108,0.000416502,0.27840424,0.32549757,0.3708799,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23916061,,,0.23916061 B/w Confused & Neutal,,,108,,,,,-5
109,109,0.000991136,0.27854967,0.32564723,0.37076503,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23817919,,,0.23817919 B/w Confused & Neutal,,,109,,,,,-5
110,110,0.001210302,0.27868533,0.32596484,0.37080848,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23277129,,,0.23277129 B/w Confused & Neutal,,,110,,,,,-5
111,111,0.001188874,0.27868575,0.3257637,0.37085223,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.22996847,,,0.22996847 B/w Confused & Neutal,,,111,,,,,0
112,112,0,0.2966817,0.35041165,0.39050186,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.3074168,,,0.3074168 B/w Confused & Neutal,,,112,,,,,5
113,113,0,0.2970157,0.3499587,0.39077118,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.31888554,,,0.31888554 B/w Confused & Neutal,,,113,,,,,0
116,116,0.037258267,0.33273765,0.35541368,0.4386073,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2133668,,,0.2133668 B/w Confused & Neutal,,,116,,,,,5
117,117,0.03712678,0.3325244,0.35534126,0.43858966,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.21895397,,,0.21895397 B/w Confused & Neutal,,,117,,,,,-5
118,118,0.037165925,0.33236486,0.35509998,0.4376108,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.22511394,,,0.22511394 B/w Confused & Neutal,,,118,,,,,5
119,119,0.09991081,0.33460414,0.3676684,0.43680924,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.24410802,,,0.24410802 B/w Confused & Neutal,,,119,,,,,5
119,119,0.09991081,0.33460414,0.3676684,0.43680924,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.20710325,,,0.20710325 B/w Confused & Neutal,,,119,,,,,5
120,120,0.099660784,0.33462998,0.3677235,0.43732473,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2518803,,,0.2518803 B/w Confused & Neutal,,,120,,,,,0
121,121,0.09954591,0.33459827,0.3675173,0.43760756,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.25875753,,,0.25875753 B/w Confused & Neutal,,,121,,,,,0
122,122,0.102022186,0.34292272,0.3827008,0.43799105,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.33808887,,,0.33808887 B/w Confused & Neutal,,,122,,,,,0
123,123,0.101841256,0.34283984,0.382568,0.43808472,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.34458145,,,0.34458145 B/w Confused & Neutal,,,123,,,,,0
132,132,0.06735273,0.41413727,0.41354942,0.48884752,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23979302,,,0.23979302 B/w Confused & Neutal,,,132,,,,,5
133,133,0.06665832,0.4141612,0.4144037,0.48922712,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23581375,,,0.23581375 B/w Confused & Neutal,,,133,,,,,-5
134,134,0.065966085,0.41275606,0.41404253,0.48916015,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23923187,,,0.23923187 B/w Confused & Neutal,,,134,,,,,-5
135,135,0.066394255,0.4107654,0.43737906,0.50563896,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.23565683,,,0.23565683 B/w Confused & Neutal,,,135,,,,,-5
136,136,0.06571561,0.41009152,0.4370528,0.5059037,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.23388486,,,0.23388486 B/w Confused & Neutal,,,136,,,,,0
137,137,0.06585282,0.41069874,0.43694264,0.50620055,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.25103113,,,0.25103113 B/w Confused & Neutal,,,137,,,,,5
138,138,0.075203255,0.41204387,0.44281894,0.5106734,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.5425906,,,0.5425906 B/w Confused & Neutal,,,138,,,,,0
139,139,0.07615201,0.41192317,0.442954,0.5107133,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.55303484,,,0.55303484 B/w Confused & Neutal,,,139,,,,,5
140,140,0.07903157,0.43481958,0.46810514,0.54024935,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.33982864,,,0.33982864 B/w Confused & Neutal,,,140,,,,,-5
140,140,0.07085389,0.44276357,0.47712696,0.5363381,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.26757,,,0.26757 B/w Confused & Neutal,,,140,,,,,5
141,141,0.07901575,0.43506396,0.46816856,0.540078,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.33942902,,,0.33942902 B/w Confused & Neutal,,,141,,,,,-5
141,141,0.070669204,0.4428999,0.47711095,0.5360586,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2687298,,,0.2687298 B/w Confused & Neutal,,,141,,,,,5
142,142,0.078931466,0.43508363,0.46837467,0.5402254,18,98.9 - Up temp/97.8- Lower temp/97.9-Nose,0.34225425,,,0.34225425 B/w Confused & Neutal,,,142,,,,,0
142,142,0.070715606,0.44260398,0.4775154,0.5362647,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.26983273,,,0.26983273 B/w Confused & Neutal,,,142,,,,,0
143,143,0.06373046,0.44919175,0.47976065,0.5480023,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.35121563,,,0.35121563 B/w Confused & Neutal,,,143,,,,,0
143,143,0.016124308,0.151325,0.5204238,0.5445348,15,bench,0.21252796,,,0.21252796 B/w Confused & Neutal,,,143,,,,,0
143,143,0.09052791,0.40385357,0.48750794,0.5233395,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.21112186,,,0.21112186 B/w Confused & Neutal,,,143,,,,,5
144,144,0.064235196,0.44948018,0.47894347,0.5478138,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.3577099,,,0.3577099 B/w Confused & Neutal,,,144,,,,,-5
144,144,0.09085503,0.40392306,0.48718634,0.5232532,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.22022565,,,0.22022565 B/w Confused & Neutal,,,144,,,,,-5
144,144,0.015448183,0.14990339,0.52057993,0.5443636,15,bench,0.200135,,,0.200135 B/w Confused & Neutal,,,144,,,,,-5
145,145,0.064579934,0.44954965,0.4790211,0.5475472,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.35729945,,,0.35729945 B/w Confused & Neutal,,,145,,,,,0
145,145,0.090812385,0.4041685,0.4871723,0.523683,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.22642004,,,0.22642004 B/w Confused & Neutal,,,145,,,,,5
145,145,0.015026867,0.14890167,0.5202584,0.54397655,15,bench,0.20157512,,,0.20157512 B/w Confused & Neutal,,,145,,,,,0
146,146,0.06654008,0.46691236,0.48268545,0.5584964,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6534242,,,0.6534242 B/w Confused & Neutal,,,146,,,,,5
147,147,0.06581998,0.4665141,0.4826241,0.55845857,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6462254,,,0.6462254 B/w Confused & Neutal,,,147,,,,,-5
148,148,0.06320836,0.4717687,0.48928273,0.56616235,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.4857126,,,0.4857126 B/w Confused & Neutal,,,148,,,,,5
149,149,0.06359525,0.47208408,0.48923594,0.5663321,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.48201033,,,0.48201033 B/w Confused & Neutal,,,149,,,,,0
150,150,0.06306966,0.47178024,0.48902774,0.5664392,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.48462933,,,0.48462933 B/w Confused & Neutal,,,150,,,,,5
151,151,0.07564534,0.5053558,0.51935923,0.60094506,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.57151616,,,0.57151616 B/w Confused & Neutal,,,151,,,,,0
152,152,0.07565078,0.5050396,0.51922274,0.6014209,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.575136,,,0.575136 B/w Confused & Neutal,,,152,,,,,0
153,153,0.07597938,0.50553364,0.52005196,0.60138434,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.57721114,,,0.57721114 B/w Confused & Neutal,,,153,,,,,0
154,154,0.077832565,0.5073523,0.53175426,0.61256987,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6147246,,,0.6147246 B/w Confused & Neutal,,,154,,,,,0
155,155,0.07787363,0.50737566,0.53107816,0.612493,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.60368836,,,0.60368836 B/w Confused & Neutal,,,155,,,,,5
156,156,0.118296266,0.5399774,0.5321716,0.6336548,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23674718,,,0.23674718 B/w Confused & Neutal,,,156,,,,,-5
157,157,0.11883938,0.53997123,0.5315086,0.63298154,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.24992873,,,0.24992873 B/w Confused & Neutal,,,157,,,,,-5
158,158,0.11868097,0.53997946,0.53153646,0.63296795,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2517877,,,0.2517877 B/w Confused & Neutal,,,158,,,,,-5
159,159,0.12400837,0.566057,0.5741063,0.6586012,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2132713,,,0.2132713 B/w Confused & Neutal,,,159,,,,,0
160,160,0.12441313,0.5659575,0.57345486,0.65862757,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.22545294,,,0.22545294 B/w Confused & Neutal,,,160,,,,,5
161,161,0.12436703,0.5662334,0.57327664,0.65876615,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.22267863,,,0.22267863 B/w Confused & Neutal,,,161,,,,,0
162,162,0.16382393,0.5773331,0.57619286,0.6635431,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.3249605,,,0.3249605 B/w Confused & Neutal,,,162,,,,,5
163,163,0.16319017,0.5772945,0.57589024,0.6637946,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.3077547,,,0.3077547 B/w Confused & Neutal,,,163,,,,,-5
164,164,0.13908437,0.60004675,0.53884137,0.689168,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2567934,,,0.2567934 B/w Confused & Neutal,,,164,,,,,5
165,165,0.13792346,0.59987956,0.53989136,0.6895037,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.27048007,,,0.27048007 B/w Confused & Neutal,,,165,,,,,5
166,166,0.13803037,0.5999952,0.540422,0.6897375,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.25065786,,,0.25065786 B/w Confused & Neutal,,,166,,,,,5
167,167,0.16382666,0.6046202,0.6009163,0.6942539,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.34128252,,,0.34128252 B/w Confused & Neutal,,,167,,,,,0
168,168,0.16355594,0.6041764,0.6013153,0.6944332,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.35099295,,,0.35099295 B/w Confused & Neutal,,,168,,,,,0
169,169,0.16365817,0.60440135,0.60168695,0.6945406,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.35059544,,,0.35059544 B/w Confused & Neutal,,,169,,,,,0
170,170,0.17385782,0.61489815,0.6149012,0.7082296,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.24438839,,,0.24438839 B/w Confused & Neutal,,,170,,,,,0
171,171,0.2011872,0.61556673,0.60268414,0.70056975,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2371161,,,0.2371161 B/w Confused & Neutal,,,171,,,,,5
172,172,0.27974737,0.60594094,0.655689,0.71684945,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.20156129,,,0.20156129 B/w Confused & Neutal,,,172,,,,,-5
173,173,0.28228223,0.6055097,0.6555332,0.71689194,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.20246306,,,0.20246306 B/w Confused & Neutal,,,173,,,,,-5
174,174,0.2826295,0.60545874,0.6554732,0.7167882,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.20105003,,,0.20105003 B/w Confused & Neutal,,,174,,,,,-5
175,175,0.23311517,0.6790656,0.6311252,0.7670598,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.25742134,,,0.25742134 B/w Confused & Neutal,,,175,,,,,0
176,176,0.23312451,0.6791413,0.6302309,0.76706934,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.25558433,,,0.25558433 B/w Confused & Neutal,,,176,,,,,5
177,177,0.23327276,0.6791332,0.6308763,0.76722085,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23273957,,,0.23273957 B/w Confused & Neutal,,,177,,,,,5
178,178,0.23324853,0.6791861,0.63045824,0.7672547,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.2315905,,,0.2315905 B/w Confused & Neutal,,,178,,,,,0
179,179,0.23361382,0.6797866,0.626493,0.76708597,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.23165858,,,0.23165858 B/w Confused & Neutal,,,179,,,,,5
221,221,0.31264114,0.31171495,0.60036314,0.3833992,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.41304368,,,0.41304368 B/w Confused & Neutal,,,221,,,,,-5
222,222,0.31258965,0.3117426,0.6003331,0.38342226,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.41756198,,,0.41756198 B/w Confused & Neutal,,,222,,,,,5
223,223,0.3121506,0.31128755,0.5979592,0.3834599,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.43515986,,,0.43515986 B/w Confused & Neutal,,,223,,,,,-5
224,224,0.31209606,0.31125158,0.5978322,0.38346297,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.44092506,,,0.44092506 B/w Confused & Neutal,,,224,,,,,5
225,225,0.31666097,0.30860424,0.64554036,0.3955381,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.44271976,,,0.44271976 B/w Confused & Neutal,,,225,,,,,0
226,226,0.3181525,0.3077012,0.64440954,0.3951353,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.42892623,,,0.42892623 B/w Confused & Neutal,,,226,,,,,0
227,227,0.31706744,0.3086091,0.64485824,0.3956165,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.43937647,,,0.43937647 B/w Confused & Neutal,,,227,,,,,0
228,228,0.31709778,0.3087089,0.6444427,0.39541477,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.43976188,,,0.43976188 B/w Confused & Neutal,,,228,,,,,0
229,229,0.30082008,0.341665,0.6632031,0.4401628,1,97.3 - Up temp/97.4- Lower temp/97-Nose,0.55300105,,,0.55300105 B/w Confused & Neutal,,,229,,,,,5
